OriginalPath,OriginalName,ProposedName,Ext,Status,Snippet
3548.pdf,3548.pdf,Magenic Product Backlog Workshop Process 3magenic.pdf,.pdf,Renamed,"Magenic Product 
Backlog Workshop 
Process 3Magenic Workshop Approach
•Upfront investment in your product
•Collaborative refinement of your requirements and determination of MVP release
•Build an init"
3549.pdf,3549.pdf,Confidential What Backlog Workshop Partnered Upfront.pdf,.pdf,Renamed,"Confidential  
  
WHAT IS THE BACKLOG WORKSHOP ?  
 
• Partnered upfront investment in your product understanding  
• Collaborative refinement of your goals and determination of Minimal Viable Product"
2295.pdf,2295.pdf,Tps Bolder Enterprise Architecture Technology Roadmapamber.pdf,.pdf,Renamed,"TPS & Bolder Enterprise Architecture Technology RoadmapAmber Marfatia
© 2019 Cognizant1 © 2019 Cognizant2Past –Present –Future What was done•70+ working sessions, meetings & workshops to understand th"
2604.pdf,2604.pdf,Cognizant Softvision 2020 Cognizant Softvision 2020.pdf,.pdf,Renamed,"1 
© COGNIZANT SOFTVISION 2020 
 © COGNIZANT SOFTVISION 2020 Member-facing 
Consent 
Management 
Experience  2 
© COGNIZANT SOFTVISION 2020 
Overview 
The Cognizant interoperability solution allows he"
2634.pdf,2634.pdf,Product Launchpreviewglobal Rtp Strategy Missionenable Fis.pdf,.pdf,Renamed,"PRODUCT LAUNCHPREVIEWGlobal  RTP  Strategy
1 2
MissionEnable FIS to establish a leading position in the Real Time Payments market across the globe RTP Challenges / Opportunities
Solution ReachGeograph"
2708.pdf,2708.pdf,Luma Methods Recipesthe Double Diamond Product.pdf,.pdf,Renamed,"LUMA Methods & RecipesThe Double Diamond and Product Development What does LUMA do?LUMA Institute has created a framework to help you choose the best tool for each step of the innovation process, base"
2985.pdf,2985.pdf,Modernizing Testing Day Experience Game Pods.pdf,.pdf,Renamed,"MODERNIZING THE 
TESTING DAY EXPERIENCE
Game of Pods is an Agile Acceleration Platform 
designed to support the cultural side of digital 
transformation. In a world where 74% of enterprises 
report an"
2987.pdf,2987.pdf,,.pdf,No meaningful text,
2993.pdf,2993.pdf,Digital. Innovation. Scale. Cognizant Softvision 2019.pdf,.pdf,Renamed,"DIGITAL. 
INNOVATION. 
SCALE. 
Cognizant Softvision / 2019  MEET 
COGNIZANT 
SOFTVISION 
Cognizant Softvision / 2019  Cognizant Softvision / 2019 
Build digital products that 
delight end users and cr"
3022.pdf,3022.pdf,Version 1.3 Brand Guidelines Helping People.pdf,.pdf,Renamed,"Version 1.3   
 
 
Brand Guidelines  
Helping people achieve education and workplace success.  
  
  
ACT Brand Guidelines  
To help people achieve education and workplace success, it is important for"
3034.pdf,3034.pdf,Bamboo Rose Marketplace Process Overview Style.pdf,.pdf,Renamed,"BAMBOO ROSE MARKETPLACE PROCESS OVERVIEW
STYLE :  Bamboo Rose Marketplace is a research and development product 
software application used to collaborate, design and develop 
directly with Kohl’s co-c"
3035.pdf,3035.pdf,Mobile Plm Use Cases Use Description.pdf,.pdf,Renamed,"Mobile PLM Use Cases
# Use Description Use Case Notes Business Value
1Color, Material & Trim LibrariesMaterial Management: Swatch 
header info needs to be 
uploaded into the system 
easily using QR Co"
3083.pdf,3083.pdf,Business Case Workbook Helping You Craft.pdf,.pdf,Renamed,"THE
BUSINESS CASE 
WORKBOOK
Helping you Craft Your 
Compelling Business Case  
 
 
 The Business Case Workbook 1 
   
The  
Business Case 
Workbook  
 
    
 
 
 The Business Case Workbook 2 
  
 
 
 "
3124.pdf,3124.pdf,Creating Digital Platform Smartplantm Partnership Proposal.pdf,.pdf,Renamed,"Creating a Digital Platform 
for SmartPlanTM
Partnership Proposal
Created for Nationwide Financial Innovation
18 March 2019 Copyrights & Proprietary Notice
Allconfidential orproprietary information co"
3137.pdf,3137.pdf,Creating Digital Platform Smartplantm Partnership Proposal.pdf,.pdf,Renamed,"Creating a Digital Platform 
for SmartPlanTM
Partnership Proposal
Created for Nationwide Financial Innovation
18 March 2019 Copyrights & Proprietary Notice
Allconfidential orproprietary information co"
3163.pdf,3163.pdf,Future State Platform Mission Build Best-in-class.pdf,.pdf,Renamed,"Future State Platform
Mission : Build the Best-in-Class fully Integrated Wealth Management Platform
Multi Channel
Sales Distribution .
Consumers •
Technology
Platform
CJassfcatmUltra High High Net Mas"
1799.pdf,1799.pdf,Publish Maintain Training Content Epic Tamod.pdf,.pdf,Renamed,"Publish /Maintain 
Training Content
(EPIC TAMOD -58)
Tracking of Training 
Completed by Test 
Site Staff
(EPIC TAMOD -52)
Test Site Staff Ability 
to Access and Take 
Training
(EPIC TAMOD -51)
Trainin"
1726.pdf,1726.pdf,Product Team Gathers Requirements Humana Business.pdf,.pdf,Renamed,"Product team gathers 
requirements from 
Humana Business 
Stakeholders
[Go365 Reimagined 
Product Team Meeting 
Series ]
WIP
Product Team 
captures business 
requirements in User 
Stories
Story approv"
resume/3123.docx,3123.docx,Nationwide Financial Innovation Team Working Help.docx,.docx,Renamed,The Nationwide Financial (NF) Innovation team is working to help more of America prepare for and live in retirement.  In an effort to create more customer value and expand NF’s reach to new customer s
resume/4923.docx,4923.docx,Tony Giovannini 9104 Wellesley Drive Austin.docx,.docx,Renamed,"Tony Giovannini 9104 Wellesley Drive
Austin, Texas, 78754 Tony.Giov@gmail.com 206-724-6233  Objectives/Goals:  I utilize my Project Management and Scrum Master experience in order to deliver compellin"
